keys,en,ru,zhcn
TR_LANG_DISPLAY_NAME,English,Русский (Бета),简体中文
TR_LANG_SYSTEM,System,Системный,系统
TR_ABERRATION,Aberration,Аберрация,像差
TR_ABOUT,About,О программе,关于
TR_ABOUT_FULL,PNGTubing is designed to be as lightweight and easy to use as possible. I prefer the models to be called puppets or paper dolls.,PNGTubing сделан максимально лёгким и простым в использовании. Модели лучше называть кукольными или «бумажными».,PNGTubing 的设计理念是尽可能轻量且易于使用。我个人更喜欢把模型称为 puppets 或 paper dolls（纸片人）。
TR_ACHROMATOPSIA,Achromatopsia,Ахроматопсия,全色盲
TR_ADD,Add,Добавить,添加
TR_ADD_APPENDAGE,Add Appendage Image,Добавить изображение придатка,添加附加部位图像
TR_ADD_FOLDER,Add Folder,Добавить папку,添加文件夹
TR_ADD_IMAGE,Add Image,Добавить изображение,添加图像
TR_ADD_KEY,Add Key,Добавить клавишу,添加按键
TR_ADD_LAYER,Add Layer,Добавить слой,添加图层
TR_ADD_MESH,Add Mesh,Добавить сетку,添加网格
TR_ADD_NEW_STATE,Add new State,Добавить новое состояние,添加新状态
TR_ADD_OBJECT_WITH_OFFSET,Add Object with offset?\n(for Trimmed Images),Добавить объект со смещением?\n(для обрезанных изображений),添加带偏移的对象？\n（用于已裁剪的图像）
TR_ADD_SPRITES,Add Sprites,Добавить спрайты,添加精灵
TR_ADD_SPRITE_AS_APPENDAGE,Add Sprite as Appendage,Добавить спрайт как придаток,将精灵添加为附加部位
TR_ADD_WINDOW,Add Window,Добавить окно,添加窗口
TR_ADVANCED_LIP_SYNC,Advanced Lip Sync,Расширенная синхронизация губ,高级唇形同步
TR_ADVANCED_LIP_SYNC_TOOLTIP,Works only if the mouth shapes are in a sprite sheet. 14 frames.\n(Check the lip-sync settings),Работает только если формы рта находятся в спрайт-листе. 14 кадров.\n(См. настройки синхронизации губ),仅在口型位于精灵表中时有效。14 帧。\n（请查看唇形同步设置）
TR_ALPHA_TRESHOLD,Alpha Threshold,Порог альфа-канала,Alpha 阈值
TR_ALWAYS_ON_TOP,Always on Top,Поверх всех окон,窗口置顶
TR_AMOUNT,Amount,Количество,数量
TR_ANCHOR_LABEL,Anchor,Якорь,锚点
TR_ANGLE,Angle,Угол,角度
TR_ANIMATE_TO_MOUSE,Animate to Follow,Анимация за курсором,跟随鼠标动画
TR_ANIMATE_TO_MOUSE_TOOLTIP,Animates the sprite sheet based on mouse position (horizontal and vertical),Анимирует спрайт-лист по положению мыши (по горизонтали и вертикали),根据鼠标位置（水平和垂直）对精灵表进行动画处理
TR_ANIMATION,Animation,Анимация,动画
TR_ANIMATION_BOUNCY,Bouncy,Прыгучий,弹跳
TR_ANIMATION_FRAMES_H,Horizontal Animation Frames,Горизонтальные кадры анимации,水平动画帧
TR_ANIMATION_FRAMES_V,Vertical Animation Frames,Вертикальные кадры анимации,垂直动画帧
TR_ANIMATION_ONE_BOUNCE,One Bounce,Один отскок,单次弹跳
TR_ANIMATION_ONE_SHOT,One Shot,Один раз,单次播放
TR_ANIMATION_ONE_SHOT_TOOLTIP,"Sets any animation type (APNG, GIF or SpriteSheet) to only play once.","Любая анимация (APNG, GIF или атлас) проигрывается только один раз.","将任意动画类型（APNG、GIF 或精灵表）设置为仅播放一次。"
TR_ANIMATION_RESET,Animation Reset,Сброс анимации,动画重置
TR_ANIMATION_SPEED,Animation Speed,Скорость анимации,动画速度
TR_ANIMATION_SQUISH,Squish,Сжатие,挤压
TR_ANIMATION_WOBBLE,Wobble,Покачивание,摇晃
TR_ANTI_ALIASING,Anti-Aliasing,Сглаживание,抗锯齿
TR_APPLY,Apply,Применить,应用
TR_ARROW_KEYS,Arrow Keys,Клавиши со стрелками,方向键
